ID,none_avg_pct,D0_avg_pct,D1_avg_pct,D2_avg_pct,D3_avg_pct,D4_avg_pct,total_acres_burned
128,0.14,70.3475,29.512499999999992,67.8375,25.08,46.0,40984.0
129,0.14,69.802,30.057999999999993,67.28,25.08,46.0,72994.0
130,0.14,69.765,30.095,67.235,25.08,46.0,
131,0.14,69.08500000000001,30.77499999999999,66.555,25.709999999999994,44.84,
132,0.084,68.71400000000001,31.201999999999998,66.128,24.537999999999997,44.84,
133,0.0,65.075,34.925,61.86999999999999,24.97,42.5925,
134,0.235,64.71,35.05500000000001,59.719999999999985,23.177500000000002,38.7125,
135,1.1999999999999997,60.94,37.86,55.745999999999995,21.282,36.236,
136,3.8950000000000005,54.30000000000001,41.805,48.53000000000001,25.839999999999996,26.36,
137,5.124,49.634,45.242000000000004,41.968,24.168000000000003,21.04,3876.0
138,1.0675,52.475,46.4575,37.212500000000006,21.8075,21.04,77677.0
139,0.0,53.67,46.33,37.260000000000005,21.759999999999998,21.04,141442.0
140,0.0,53.67,46.33,37.260000000000005,21.759999999999998,21.04,170518.0
141,0.0,56.1075,43.8925,39.697500000000005,21.759999999999998,21.04,30289.0
142,4.1825,53.74250000000001,42.075,40.28,21.759999999999998,21.04,6447.0
143,12.03,53.217999999999996,34.751999999999995,38.732000000000006,21.759999999999998,21.04,4824.0
144,14.1875,52.0,33.8125,37.4525,21.902499999999996,20.035,
145,33.19199999999999,34.224000000000004,32.584,24.523999999999997,14.346,4.514,
146,55.387499999999996,26.705,17.907500000000002,6.2875,0.365,0.0,
147,76.54,16.29,7.17,1.07,0.0,0.0,
148,76.54,16.28,7.18,1.06,0.0,0.0,5882.0
149,76.47,16.35,7.18,1.06,0.0,0.0,13789.0
150,76.47,16.35,7.18,1.06,0.0,0.0,13577.0
151,76.085,16.735,7.18,1.06,0.0,0.0,321485.0
152,77.86800000000001,14.34,7.792,0.44800000000000006,0.0,0.0,264619.0
153,77.88,13.91,8.21,0.03,0.0,0.0,52653.0
154,77.888,13.872,8.24,0.0,0.0,0.0,233979.0
155,73.73750000000001,18.0225,8.24,0.0,0.0,0.0,
156,58.120000000000005,30.585,11.295,0.0,0.0,0.0,307649.0
157,46.928,35.160000000000004,17.912,0.984,0.0,0.0,
158,13.3675,56.45249999999999,30.18,16.5825,0.0,0.0,2070.0
159,13.407499999999999,59.540000000000006,27.052500000000002,18.947499999999998,0.9475000000000001,0.0,
160,31.26,41.685,27.055,10.995,2.5125,0.0,1065.0
161,31.951999999999998,46.216,21.832,15.27,2.7920000000000003,0.0,3017.0
